text,sentiment
Best app ever,positive
Fantastic experience,positive
Highly recommended,positive
Very satisfied,positive
It is okay,neutral
I love this product,positive
Waste of money,negative
It is okay,neutral
Worst experience,negative
Terrible service,negative
Normal service,neutral
Bad quality,negative
Never buying again,negative
Fantastic experience,positive
Waste of money,negative
Excellent service,positive
Works as expected,neutral
Terrible service,negative
Acceptable quality,neutral
Very frustrating,negative
Neutral opinion,neutral
Bad quality,negative
Poor support,negative
Very disappointed,negative
Fine product,neutral
Very disappointed,negative
Poor support,negative
Fantastic experience,positive
Excellent service,positive
Excellent service,positive
Best app ever,positive
Bad quality,negative
Worst experience,negative
Excellent service,positive
Average experience,neutral
It is okay,neutral
Bad quality,negative
Fine product,neutral
Fantastic experience,positive
Fast delivery,positive
Acceptable quality,neutral
Acceptable quality,neutral
Neutral opinion,neutral
Fast delivery,positive
Poor support,negative
Excellent service,positive
Never buying again,negative
Fast delivery,positive
Terrible service,negative
Bad quality,negative
Very disappointed,negative
Waste of money,negative
Acceptable quality,neutral
Average experience,neutral
Works as expected,neutral
Terrible service,negative
Never buying again,negative
It is okay,neutral
It is okay,neutral
Works as expected,neutral
Very frustrating,negative
Best app ever,positive
Works as expected,neutral
Nothing special,neutral
Fine product,neutral
Neutral opinion,neutral
Waste of money,negative
Fast delivery,positive
Fine product,neutral
Highly recommended,positive
Bad quality,negative
Amazing quality,positive
Terrible service,negative
Very disappointed,negative
Terrible service,negative
Excellent service,positive
Acceptable quality,neutral
Poor support,negative
Acceptable quality,neutral
It is okay,neutral
Never buying again,negative
It is okay,neutral
Nothing special,neutral
Very frustrating,negative
Very frustrating,negative
Very frustrating,negative
Neutral opinion,neutral
Excellent service,positive
Highly recommended,positive
Neutral opinion,neutral
I love this product,positive
Worst experience,negative
It is okay,neutral
Acceptable quality,neutral
Works as expected,neutral
Worst experience,negative
Best app ever,positive
Amazing quality,positive
Waste of money,negative
Fine product,neutral
Neutral opinion,neutral
Highly recommended,positive
Best app ever,positive
Highly recommended,positive
Never buying again,negative
Never buying again,negative
Very disappointed,negative
Poor support,negative
Very satisfied,positive
Excellent service,positive
Very disappointed,negative
Never buying again,negative
Fast delivery,positive
Best app ever,positive
I love this product,positive
Works as expected,neutral
Poor support,negative
Never buying again,negative
Amazing quality,positive
Worst experience,negative
Excellent service,positive
Fast delivery,positive
Very disappointed,negative
Terrible service,negative
Waste of money,negative
I love this product,positive
Poor support,negative
Average experience,neutral
Nothing special,neutral
Bad quality,negative
Acceptable quality,neutral
Acceptable quality,neutral
Very frustrating,negative
Bad quality,negative
Bad quality,negative
Very frustrating,negative
Best app ever,positive
It is okay,neutral
Fantastic experience,positive
Fine product,neutral
I love this product,positive
Highly recommended,positive
Very satisfied,positive
Very disappointed,negative
Amazing quality,positive
Very frustrating,negative
Poor support,negative
Fine product,neutral
Best app ever,positive
Nothing special,neutral
Fantastic experience,positive
Waste of money,negative
I love this product,positive
Very disappointed,negative
Average experience,neutral
Never buying again,negative
Neutral opinion,neutral
It is okay,neutral
Normal service,neutral
Worst experience,negative
Amazing quality,positive
Normal service,neutral
Poor support,negative
Never buying again,negative
Best app ever,positive
Neutral opinion,neutral
Excellent service,positive
Nothing special,neutral
Worst experience,negative
Never buying again,negative
I love this product,positive
Poor support,negative
I love this product,positive
Never buying again,negative
Terrible service,negative
Fantastic experience,positive
Waste of money,negative
Poor support,negative
Very frustrating,negative
Worst experience,negative
Very frustrating,negative
Bad quality,negative
Works as expected,neutral
Fantastic experience,positive
Fantastic experience,positive
Highly recommended,positive
Poor support,negative
Very satisfied,positive
Acceptable quality,neutral
Worst experience,negative
Poor support,negative
Acceptable quality,neutral
Very disappointed,negative
Worst experience,negative
Nothing special,neutral
Terrible service,negative
Average experience,neutral
Waste of money,negative
Fast delivery,positive
Very satisfied,positive
It is okay,neutral
Amazing quality,positive
Acceptable quality,neutral
Waste of money,negative
Fantastic experience,positive
Worst experience,negative
Normal service,neutral
Best app ever,positive
Best app ever,positive
Highly recommended,positive
Waste of money,negative
Fantastic experience,positive
Normal service,neutral
Acceptable quality,neutral
Waste of money,negative
Works as expected,neutral
Works as expected,neutral
Normal service,neutral
Excellent service,positive
Excellent service,positive
Very frustrating,negative
It is okay,neutral
Nothing special,neutral
Excellent service,positive
Amazing quality,positive
Excellent service,positive
Very disappointed,negative
Waste of money,negative
I love this product,positive
It is okay,neutral
Works as expected,neutral
Very disappointed,negative
Never buying again,negative
Works as expected,neutral
Acceptable quality,neutral
Best app ever,positive
Acceptable quality,neutral
Bad quality,negative
Acceptable quality,neutral
Best app ever,positive
Bad quality,negative
Worst experience,negative
Acceptable quality,neutral
Worst experience,negative
I love this product,positive
Never buying again,negative
Excellent service,positive
Nothing special,neutral
Highly recommended,positive
Amazing quality,positive
Waste of money,negative
Terrible service,negative
Normal service,neutral
Neutral opinion,neutral
Very frustrating,negative
Fast delivery,positive
Terrible service,negative
Poor support,negative
Normal service,neutral
Fantastic experience,positive
Very satisfied,positive
Fantastic experience,positive
Highly recommended,positive
Acceptable quality,neutral
Works as expected,neutral
Terrible service,negative
Best app ever,positive
Highly recommended,positive
Excellent service,positive
Very satisfied,positive
Works as expected,neutral
Average experience,neutral
Acceptable quality,neutral
Never buying again,negative
Waste of money,negative
Very satisfied,positive
Fine product,neutral
It is okay,neutral
Works as expected,neutral
Very frustrating,negative
Poor support,negative
It is okay,neutral
Neutral opinion,neutral
Nothing special,neutral
Excellent service,positive
Waste of money,negative
Works as expected,neutral
I love this product,positive
Nothing special,neutral
Never buying again,negative
Nothing special,neutral
Best app ever,positive
Very disappointed,negative
Never buying again,negative
Works as expected,neutral
Bad quality,negative
Neutral opinion,neutral
Never buying again,negative
I love this product,positive
Normal service,neutral
Waste of money,negative
Very satisfied,positive
Best app ever,positive
Highly recommended,positive
Normal service,neutral
It is okay,neutral
Works as expected,neutral
Very satisfied,positive
Waste of money,negative
Very frustrating,negative
Amazing quality,positive
Fine product,neutral
Fantastic experience,positive
Very frustrating,negative
Poor support,negative
Fine product,neutral
Worst experience,negative
Acceptable quality,neutral
It is okay,neutral
Bad quality,negative
Acceptable quality,neutral
Best app ever,positive
Fantastic experience,positive
Waste of money,negative
Best app ever,positive
Acceptable quality,neutral
Very disappointed,negative
Best app ever,positive
Poor support,negative
Highly recommended,positive
Very satisfied,positive
Nothing special,neutral
Terrible service,negative
Very satisfied,positive
Average experience,neutral
Worst experience,negative
Worst experience,negative
It is okay,neutral
Neutral opinion,neutral
Fantastic experience,positive
Waste of money,negative
Fine product,neutral
Highly recommended,positive
Fast delivery,positive
Fast delivery,positive
Very frustrating,negative
Acceptable quality,neutral
Works as expected,neutral
Worst experience,negative
Never buying again,negative
Poor support,negative
Neutral opinion,neutral
Never buying again,negative
Very disappointed,negative
Very satisfied,positive
It is okay,neutral
Highly recommended,positive
Very frustrating,negative
Fine product,neutral
Amazing quality,positive
Very satisfied,positive
Works as expected,neutral
Acceptable quality,neutral
Never buying again,negative
Normal service,neutral
Terrible service,negative
Neutral opinion,neutral
Normal service,neutral
Normal service,neutral
Normal service,neutral
Worst experience,negative
Nothing special,neutral
Fine product,neutral
Normal service,neutral
Nothing special,neutral
Excellent service,positive
Nothing special,neutral
Terrible service,negative
Highly recommended,positive
Average experience,neutral
Terrible service,negative
Works as expected,neutral
Very satisfied,positive
Fast delivery,positive
Highly recommended,positive
Never buying again,negative
Normal service,neutral
Highly recommended,positive
Neutral opinion,neutral
Worst experience,negative
Excellent service,positive
Average experience,neutral
Excellent service,positive
Best app ever,positive
Normal service,neutral
Best app ever,positive
Poor support,negative
Never buying again,negative
Poor support,negative
Highly recommended,positive
Highly recommended,positive
Fast delivery,positive
Worst experience,negative
Neutral opinion,neutral
Works as expected,neutral
Highly recommended,positive
Very disappointed,negative
Highly recommended,positive
Neutral opinion,neutral
Best app ever,positive
Bad quality,negative
Amazing quality,positive
Best app ever,positive
I love this product,positive
Bad quality,negative
Fast delivery,positive
Neutral opinion,neutral
Normal service,neutral
Highly recommended,positive
Nothing special,neutral
Never buying again,negative
Bad quality,negative
Works as expected,neutral
Normal service,neutral
Acceptable quality,neutral
Very disappointed,negative
Average experience,neutral
Highly recommended,positive
Neutral opinion,neutral
Never buying again,negative
Normal service,neutral
Bad quality,negative
Waste of money,negative
Nothing special,neutral
Fantastic experience,positive
Amazing quality,positive
Bad quality,negative
Highly recommended,positive
Very disappointed,negative
Worst experience,negative
Poor support,negative
Normal service,neutral
Never buying again,negative
Amazing quality,positive
I love this product,positive
Excellent service,positive
Best app ever,positive
Fine product,neutral
Fantastic experience,positive
Very disappointed,negative
Never buying again,negative
Amazing quality,positive
Excellent service,positive
Never buying again,negative
Amazing quality,positive
Fine product,neutral
Waste of money,negative
Amazing quality,positive
Excellent service,positive
Nothing special,neutral
Fantastic experience,positive
Very disappointed,negative
Poor support,negative
Fantastic experience,positive
Amazing quality,positive
Fantastic experience,positive
Very disappointed,negative
Terrible service,negative
Very satisfied,positive
Amazing quality,positive
Very satisfied,positive
Fine product,neutral
Highly recommended,positive
Very frustrating,negative
Very disappointed,negative
Waste of money,negative
Very frustrating,negative
Terrible service,negative
It is okay,neutral
Waste of money,negative
Fine product,neutral
Very satisfied,positive
Never buying again,negative
Terrible service,negative
Worst experience,negative
Neutral opinion,neutral
Poor support,negative
It is okay,neutral
Never buying again,negative
It is okay,neutral
Worst experience,negative
Waste of money,negative
Excellent service,positive
Terrible service,negative
Very disappointed,negative
Normal service,neutral
Neutral opinion,neutral
Average experience,neutral
Excellent service,positive
Poor support,negative
I love this product,positive
Fine product,neutral
I love this product,positive
Normal service,neutral
It is okay,neutral
Neutral opinion,neutral
It is okay,neutral
Best app ever,positive
Fast delivery,positive
Best app ever,positive
Neutral opinion,neutral
Nothing special,neutral
I love this product,positive
Fine product,neutral
Amazing quality,positive
Best app ever,positive
Very satisfied,positive
Acceptable quality,neutral
Excellent service,positive
Acceptable quality,neutral
Highly recommended,positive
Amazing quality,positive
Average experience,neutral
Works as expected,neutral
Normal service,neutral
Amazing quality,positive
Fine product,neutral
Highly recommended,positive
Average experience,neutral
Fast delivery,positive
Very disappointed,negative
Nothing special,neutral
Waste of money,negative
Acceptable quality,neutral
Works as expected,neutral
Normal service,neutral
Highly recommended,positive
I love this product,positive
Highly recommended,positive
Fast delivery,positive
Excellent service,positive
Works as expected,neutral
Normal service,neutral
I love this product,positive
Normal service,neutral
Excellent service,positive
Neutral opinion,neutral
Worst experience,negative
I love this product,positive
Amazing quality,positive
Highly recommended,positive
Very frustrating,negative
Very disappointed,negative
Acceptable quality,neutral
I love this product,positive
Terrible service,negative
Very frustrating,negative
Highly recommended,positive
Works as expected,neutral
Fine product,neutral
Best app ever,positive
Acceptable quality,neutral
Nothing special,neutral
Highly recommended,positive
Acceptable quality,neutral
Neutral opinion,neutral
Waste of money,negative
Best app ever,positive
Fast delivery,positive
Works as expected,neutral
I love this product,positive
Works as expected,neutral
Fantastic experience,positive
Terrible service,negative
Amazing quality,positive
Worst experience,negative
Normal service,neutral
Neutral opinion,neutral
Fast delivery,positive
Excellent service,positive
Acceptable quality,neutral
I love this product,positive
Highly recommended,positive
Terrible service,negative
Highly recommended,positive
Fine product,neutral
Fine product,neutral
Neutral opinion,neutral
Worst experience,negative
Normal service,neutral
Works as expected,neutral
Works as expected,neutral
Acceptable quality,neutral
Very frustrating,negative
Worst experience,negative
Very satisfied,positive
Terrible service,negative
Very frustrating,negative
